combo,k,w,f23,f24,d
all+ordinal_numeric_+depthwise,3,mean,505.82445205612504,702.7955980768775,-29.165950542953055
split_ball_id_fr+l2_1+ordinal_numeric_+depthwise,4,mean,516.6331141190694,702.2372184308346,-29.724330188995964
bayesian+baseline+depthwise,3,mean,501.94327813262163,702.226680118978,-29.734868500852485
ordinal_numeric_+baseline,2,lr23,524.5937534826938,702.1221270607336,-29.839421559096877
l2_1+baseline+depthwise,3,mean,497.0487996963535,701.9628232549313,-29.9987253648992
split_ball_id_fr+l2_1+bayesian+baseline,4,mean,518.5289787878911,701.6177122933675,-30.34383632646302
all+bayesian+baseline,3,mean,507.78530496156105,701.1949698880749,-30.766578731755658
all+baseline+depthwise,3,mean,501.5073676153281,700.9639451437289,-30.99760347610163
split_ball_id_fr+all+l2_1+baseline,4,mean,518.3391877382815,700.8157056573872,-31.14584296244334
all+ordinal_numeric_+bayesian,3,mean,510.03656082790894,700.6601142816482,-31.301434338182275
split_ball_id_fr+ordinal_numeric_+bayesian+depthwise,4,mean,517.7898513031964,699.7680901605463,-32.193458459284216
split_ball_id_fr+all+ordinal_numeric_+depthwise,4,mean,517.9605250715147,699.3422626805245,-32.619285939305996
split_ball_id_fr+l2_1+baseline+depthwise,4,mean,512.7644497948669,699.1376846880893,-32.82386393174124
split_ball_id_fr+all+ordinal_numeric_+bayesian,4,mean,521.2058111773276,698.5694201756098,-33.3921284442207
split_ball_id_fr+bayesian+baseline+depthwise,4,mean,515.2554104138173,698.5170501437988,-33.444498476031754
split_ball_id_fr+all+bayesian+baseline,4,mean,519.5368294895864,698.2080009298342,-33.75354768999637
split_ball_id_fr+all+baseline+depthwise,4,mean,515.1364122342295,697.6538958090028,-34.307652810827676
split_ball_id_fr+l2_1+ordinal_numeric_,3,mean,522.695472291701,689.0141133373385,-42.94743528249205
l2_1+ordinal_numeric_+bayesian+baseline,4,mean,507.5130505352021,688.1475808756088,-43.81396774422171
l2_1+ordinal_numeric_,2,mean,505.6868538160453,688.071889989006,-43.889658630824556
all+l2_1+ordinal_numeric_+baseline,4,mean,507.53504035263575,687.8083893419929,-44.15315927783763
l2_1+ordinal_numeric_+baseline+depthwise,4,mean,501.84306382141665,686.1783719671499,-45.783176652680595
split_ball_id_fr+l2_1+baseline,3,mean,518.3912649150968,685.3116382860791,-46.64991033375145
ordinal_numeric_+bayesian+baseline+depthwise,4,mean,504.5661741221674,685.088454537508,-46.873094082322496
split_ball_id_fr+ordinal_numeric_+bayesian,3,mean,523.2760741959553,684.8091986488614,-47.15234997096911
all+ordinal_numeric_+bayesian+baseline,4,mean,508.94951681317303,684.7293629718143,-47.232185648016184
all+ordinal_numeric_+baseline+depthwise,4,mean,504.6593627944129,684.6866226832282,-47.27492593660236
split_ball_id_fr+bayesian+baseline,3,mean,521.3402980580262,684.3875953459699,-47.57395327386064
split_ball_id_fr+ordinal_numeric_+depthwise,3,mean,518.2511241858978,684.0986176202102,-47.86293099962029
bayesian+baseline,2,mean,505.2220134514229,683.3387662375734,-48.62278238225713
split_ball_id_fr+all+ordinal_numeric_,3,mean,522.5251890883742,683.0129398840535,-48.94860873577704
l2_1+baseline,2,mean,497.5325523367213,682.349042154795,-49.612506465035494
split_ball_id_fr+all+baseline,3,mean,520.0745340550039,681.8183751929663,-50.14317342686422
ordinal_numeric_+depthwise,2,mean,500.1550944754407,681.7379447472849,-50.223603872545596
ordinal_numeric_+bayesian,2,mean,507.9715749245706,681.6376943134528,-50.32385430637771
split_ball_id_fr+baseline+depthwise,3,mean,514.2505928099506,681.3080354962309,-50.65351312359962
all+ordinal_numeric_,2,mean,505.764368715933,678.1820763272717,-53.77947229255881
all+baseline,2,mean,501.85375944447054,678.1540052815283,-53.80754333830225
baseline+depthwise,2,mean,492.70546624501367,678.0733077719425,-53.88824084788803
split_ball_id_fr+l2_1+ordinal_numeric_+baseline,4,mean,516.9488525593624,672.6744582959187,-59.2870903239118
split_ball_id_fr+ordinal_numeric_+bayesian+baseline,4,mean,518.5782561186736,670.9264270866599,-61.03512153317058
split_ball_id_fr+all+ordinal_numeric_+baseline,4,mean,518.2032802386938,669.79339963531,-62.168148984520485
split_ball_id_fr+ordinal_numeric_+baseline+depthwise,4,mean,513.8289210675939,669.2837381024108,-62.67781051741974
l2_1+ordinal_numeric_+baseline,3,mean,502.8159220261008,666.4291608596051,-65.53238776022545
ordinal_numeric_+bayesian+baseline,3,mean,506.1731702327266,664.6697103386723,-67.29183828115822
all+ordinal_numeric_+baseline,3,mean,505.27489756916344,662.9220094218513,-69.03953919797925
ordinal_numeric_+baseline+depthwise,3,mean,499.2637442485681,662.4973955259517,-69.46415309387885
split_ball_id_fr+ordinal_numeric_,2,mean,525.5350398656211,652.2360658171023,-79.72548280272827
split_ball_id_fr+baseline,2,mean,522.3431477908936,650.0119146534811,-81.94963396634944
split_ball_id_fr+ordinal_numeric_+baseline,3,mean,517.9362731790537,642.7012780094499,-89.26027061038064
ordinal_numeric_+baseline,2,mean,497.2169883539324,617.0932666150542,-114.86828200477635
