k,combo,f23,f24,off24
4,split_ball_id_+split_ball_no_+bayesian+split_ball_rat,525.9051567682471,805.3428519985583,-0.015741706644440356
4,id_frequency__+split_ball_rat+mtend+split_ball_rat,522.1113462633209,805.0095257355116,-0.015298976719609197
5,split_ball_no_+split_ball_rat+mtend+split_ball_id_+split_ball_rat,514.6879888428324,804.982639819507,-0.015455452089784716
4,split_ball_id_+split_ball_no_+bayesian+split_ball_rat,525.0274655450249,804.5382422921965,-0.01581497082860106
5,interact+bayesian+split_ball_rat+mtend+split_ball_rat,520.3084831378102,804.4716913223948,-0.015756315397660897
4,id_frequency__+mtend+split_ball_rat+split_ball_rat,521.2894271576896,804.3976929853591,-0.01537297566312526
5,split_ball_no_+bayesian+id_frequency__+mtend+split_ball_rat,523.9190301491336,804.369889600054,-0.015827423672058194
2,bayesian+split_ball_rat,516.7086249966202,804.3626289821804,-0.01597341088734433
5,interact+bayesian+mtend+split_ball_rat+split_ball_rat,519.5867638572827,803.8612086446406,-0.01581510182717555
5,split_ball_id_+split_ball_no_+bayesian+split_ball_id_+split_ball_rat,528.407167983147,803.590365528406,-0.015833382148309788
5,split_ball_no_+id_frequency__+split_ball_rat+mtend+split_ball_rat,517.5789790825224,803.3254992963479,-0.01543635402311222
5,split_ball_id_+split_ball_no_+interact+mtend+split_ball_rat,526.2270272327285,803.0058105852445,-0.015684663159440365
4,split_ball_no_+bayesian+split_ball_rat+split_ball_id_,521.1590226883001,802.831526625003,-0.01588957969565649
4,split_ball_id_+split_ball_rat+split_ball_id_+split_ball_rat,525.7779339433278,802.7229742778585,-0.015300952439027737
3,bayesian+split_ball_id_+split_ball_rat,524.5978102065396,802.2957841887779,-0.01594938944807936
5,split_ball_id_+split_ball_no_+bayesian+id_frequency__+split_ball_rat,531.2088428705564,802.2238388946556,-0.015815402276414564
4,split_ball_no_+interact+split_ball_rat+mtend,518.0043921036659,802.1825116434234,-0.015703760155630964
4,split_ball_id_+split_ball_id_+split_ball_rat+split_ball_rat,525.0638512186989,802.1030920147498,-0.015374883981899512
5,split_ball_id_+interact+bayesian+split_ball_rat+split_ball_rat,527.6221858508401,802.0987119783274,-0.015743501616174105
4,split_ball_no_+bayesian+split_ball_id_+split_ball_rat,520.2930890349066,802.0425851319346,-0.015962878594941443
5,split_ball_id_+interact+bayesian+split_ball_rat+split_ball_rat,526.9430229551286,801.4689418324173,-0.015802216299823535
5,split_ball_no_+interact+mtend+split_ball_id_+split_ball_rat,522.3416182098762,801.4615531656389,-0.01580470176248322
4,split_ball_no_+interact+mtend+split_ball_rat,517.0120938614353,801.3516211593962,-0.015776967588051666
4,split_ball_no_+bayesian+id_frequency__+split_ball_rat,524.4812528395038,801.2370732955021,-0.01586748750253772
3,interact+mtend+split_ball_rat,519.3456681324537,801.1406642104313,-0.015700234553532116
5,split_ball_id_+split_ball_no_+split_ball_rat+split_ball_id_+split_ball_rat,519.9291856687216,801.0323441576705,-0.015436069252406981
5,split_ball_no_+bayesian+id_frequency__+split_ball_id_+split_ball_rat,527.4465111257842,800.632597475115,-0.015935287341566018
3,split_ball_id_+split_ball_rat+split_ball_rat,517.4712537033499,800.6152659452371,-0.015086980218655677
5,interact+bayesian+split_ball_rat+split_ball_id_+split_ball_rat,523.7285116640012,800.5028671532965,-0.015863388930745986
4,split_ball_id_+id_frequency__+split_ball_rat+split_ball_rat,529.9896325337116,800.4650171066107,-0.015276506478949264
