k,combo,f23,f24,off24,m
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,574.3449359961961,952.3970566335804,-0.006198825381759504,574.3449359961961
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,579.75667840241,962.0686209125928,-0.0048195646730334885,579.75667840241
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,572.4842347201942,936.4997645740725,-0.007941934774992249,572.4842347201942
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,597.62077337282,939.00932273151,-0.0079297596622743,597.62077337282
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,569.5918917565047,940.8417514864764,-0.007339214094449709,569.5918917565047
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,561.586585356344,902.339945826458,-0.010416070358137824,561.586585356344
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,589.9438603727658,904.8579674811208,-0.010406793395228875,589.9438603727658
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,566.8044302034381,921.7174347436296,-0.009070261787695821,566.8044302034381
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,595.4717419648925,924.2973670121502,-0.009059873729213491,595.4717419648925
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,588.7111685944913,877.0912772324002,-0.012108692207821653,588.7111685944913
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,570.0516552936019,967.601332687229,-0.003331111095550593,570.0516552936019
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,571.8506281310764,971.0219127692988,-0.001931338633851698,571.8506281310764
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,565.1350883608686,960.348297390523,-0.005104248997314126,565.1350883608686
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,590.0840943490638,962.6308343335887,-0.005087997514463871,590.0840943490638
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,565.020186435572,961.4649854223112,-0.004491483105633548,565.020186435572
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,557.4396693411976,937.1700864976407,-0.007618555730549675,557.4396693411976
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,585.9980638832308,939.5148220608385,-0.007605293139795383,585.9980638832308
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,559.1958768090599,950.7768298971042,-0.006252436418290291,559.1958768090599
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,587.8267922879044,953.164900871073,-0.0062380247517947185,587.8267922879044
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,581.677987395357,919.7213947081506,-0.009336908887263268,581.677987395357
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,571.1279791687285,965.6950003598563,-0.0029240621205281203,571.1279791687285
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,564.2654988389562,950.0415636339743,-0.006080013207969026,564.2654988389562
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,589.1101120108266,952.2908528032837,-0.006064719575378408,589.1101120108266
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,560.7498424108792,958.858328628076,-0.00469781206236905,560.7498424108792
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,585.3456967254477,961.1431761283206,-0.004681344552396466,585.3456967254477
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,580.1292685561399,936.125212659078,-0.0078090599930740745,580.1292685561399
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,557.2460464062457,938.4072056970116,-0.007220426255820395,557.2460464062457
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,585.7064164977444,940.7509044067286,-0.007206953760650503,585.7064164977444
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,579.3718056306462,902.7243558275777,-0.010289047291460462,579.3718056306462
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,575.9193794251382,921.3503619663999,-0.00893920510998808,575.9193794251382
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,573.563141388711,961.7799211323552,-0.005113273824330272,573.563141388711
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,564.1961883743995,939.539983366433,-0.007630198490539808,564.1961883743995
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,568.2688941418878,951.5662430341854,-0.006258794395716055,568.2688941418878
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,559.6424317472648,919.3245964405183,-0.009358063271263178,559.6424317472648
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,589.7871236359431,921.7056369681842,-0.009347152694283073,589.7871236359431
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,571.8600429377441,951.4758033095094,-0.006088834893013817,571.8600429377441
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,570.7530490316137,958.6540150703149,-0.004701329727138187,570.7530490316137
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,562.8582478740651,934.8886141299583,-0.007829396688584067,562.8582478740651
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,589.2417500429902,937.1920906531051,-0.007816481749112814,589.2417500429902
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,565.5038011341373,939.2145340032964,-0.007226592425096906,565.5038011341373
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,556.7838271955505,902.394640304871,-0.010309107890098423,556.7838271955505
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,586.6706969609892,904.7131910617456,-0.010299098809368967,586.6706969609892
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,555.5625722673541,919.4417306682911,-0.00895511760886189,555.5625722673541
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,585.6407882355086,921.8156288815837,-0.008943985292974521,585.6407882355086
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,578.3034265638976,876.3030021968543,-0.011998483791850367,578.3034265638976
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,563.978320738856,966.3474832438012,-0.0032202361312764494,563.978320738856
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,559.0001373358743,967.1718248727035,-0.0018121833150789857,559.0001373358743
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,551.7233519302556,958.3584972446823,-0.004990795408534865,551.7233519302556
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,577.7577081579888,960.4301545806826,-0.004973804391620235,577.7577081579888
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,557.3521245329283,959.4584336423906,-0.004377948187712172,557.3521245329283
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,549.1111911554048,936.9008332157703,-0.0075106877865041555,549.1111911554048
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,579.0572097971847,939.041270153873,-0.007496693382725572,579.0572097971847
4,split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,544.1789376611217,948.0776236549415,-0.006136346440603069,544.1789376611217
