axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
a5_asofn,A5 투수 누적 이력,0.5,2022,2024,R,6,880.6173637100457,-3.3061243511878047,922.3139287647397,842.5847631795435,cw_v17_base,38.03260053050212,
a5_asofn,A5 투수 누적 이력,0.75,2022,2024,R,6,878.182169360342,-5.741318700891497,932.6172140529776,842.5847631795435,cw_v17_base,35.59740618079843,
a5_asofn,A5 투수 누적 이력,1.0,2022,2024,R,6,875.2255535611874,-8.697934500046017,936.9925426322312,842.5847631795435,cw_v17_base,32.64079038164391,
a6_psucc,A6 투수 수준 5분위,0.0,2022,2024,R,5,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a6_psucc,A6 투수 수준 5분위,0.25,2022,2024,R,5,887.6853336687751,3.761845607541659,905.537670362988,842.5847631795435,cw_v17_base,45.100570489231586,
a6_psucc,A6 투수 수준 5분위,0.5,2022,2024,R,5,891.096384648038,7.172896586804541,921.7896321217834,842.5847631795435,cw_v17_base,48.51162146849447,
a6_psucc,A6 투수 수준 5분위,0.75,2022,2024,R,5,894.1566409990443,10.233152937810814,932.6793733375193,842.5847631795435,cw_v17_base,51.57187781950074,
a6_psucc,A6 투수 수준 5분위,1.0,2022,2024,R,5,896.8661027217495,12.942614660516028,938.206894010285,842.5847631795435,cw_v17_base,54.281339542205956,
a7_inning,A7 이닝,0.0,2022,2024,R,4,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a7_inning,A7 이닝,0.25,2022,2024,R,4,886.1299262955979,2.206438234364441,906.117370883952,842.5847631795435,cw_v17_base,43.54516311605437,
a7_inning,A7 이닝,0.5,2022,2024,R,4,888.1493918924343,4.225903831200867,922.2523674214056,842.5847631795435,cw_v17_base,45.564628712890794,
a7_inning,A7 이닝,0.75,2022,2024,R,4,889.9818848517094,6.0583967904759675,932.3284776736162,842.5847631795435,cw_v17_base,47.397121672165895,
a7_inning,A7 이닝,1.0,2022,2024,R,4,891.6274051734341,7.7039171122006564,936.345701640584,842.5847631795435,cw_v17_base,49.042641993890584,
a8_hand,A8 손 매치업,0.0,2022,2024,R,4,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a8_hand,A8 손 매치업,0.25,2022,2024,R,4,885.3313453269008,1.4078572656673032,906.4021108302068,842.5847631795435,cw_v17_base,42.74658214735723,
a8_hand,A8 손 매치업,0.5,2022,2024,R,4,886.3433334821092,2.419845420875731,922.8211135206443,842.5847631795435,cw_v17_base,43.75857030256566,
a8_hand,A8 손 매치업,0.75,2022,2024,R,4,886.9594525268365,3.0359644656030014,933.1804961325352,842.5847631795435,cw_v17_base,44.37468934729293,
a8_hand,A8 손 매치업,1.0,2022,2024,R,4,887.1797024610717,3.2562143998382,937.4802586659458,842.5847631795435,cw_v17_base,44.59493928152813,
a9_batn,A9 타자 누적 이력,0.0,2022,2024,R,5,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
