model,season,scope,axis,axis_title,bin,n,share,rate,pred_mean,bias,auc,brier,bss_local,deficit,shift_gain_self
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,<0.25,47915,0.1936178638391414,0.5197328602734008,0.5172794909737821,-0.0024533692996187018,0.5714463758527882,0.2447056914397715,1965.0297327617473,19015.3745309611,0.46772078097572406
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25-0.50,44117,0.17827067304583952,0.5180089307976516,0.5166168942534638,-0.0013920365441878468,0.5728849388740554,0.2447297211351048,1980.9527735691001,17509.833181768154,0.13864255923464436
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.50-0.75,37037,0.1496613758324174,0.5198045198045198,0.5156305891223729,-0.004173930682146887,0.5702397995401943,0.24470097427708087,1965.8067944298807,14698.08724463911,1.04644302377712
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75-1.00,27793,0.11230765500743518,0.521318317561976,0.5153659603273321,-0.005952357234643935,0.574466464430042,0.24471762123139038,1934.6802636682426,11030.367719436823,1.5969919386036817
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.00-1.25,13206,0.05336361285317127,0.5218082689686506,0.5206009157189385,-0.0012073532497121064,0.5825714125841215,0.24323618825868132,2520.0786620123818,5209.413159932119,0.03121974306975176
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,1.25-1.50,6201,0.02505738022887438,0.5289469440412836,0.5304675977685569,0.00152065372727328,0.5984624585633053,0.24047943206086791,3484.736748015327,2418.4047646601302,0.023254752077619453
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,>=1.50,10824,0.04373828150255382,0.5385254988913526,0.5352805649049426,-0.0032449339864100146,0.6073285500288417,0.23901296071162292,3823.8316281559605,4195.643274123704,0.18483696834875554
sj_cb_ft_fonly,2022,all,a3_load,A3 전시즌 경기당 대비 등판 투구수,전시즌없음,60379,0.24398315769056703,0.5531062124248497,0.5554098494263581,0.002303637001508374,0.5968987803355885,0.23939085959399,3151.0960067539063,23441.359806679226,0.5196409021879462
sj_cb_ft_fonly,2022,all,a3b_gp,A3b 등판 내 투구수,1-10,73772,0.2981024115859572,0.5246028303421352,0.5241159378926077,-0.00048689244952748734,0.5847165822456314,0.24283772028335138,2629.1578916356916,29053.404161693845,0.028362659947133488
sj_cb_ft_fonly,2022,all,a3b_gp,A3b 등판 내 투구수,11-20,48944,0.19777591000193961,0.5324861065707748,0.5278626136384781,-0.004623492932296691,0.5901560481818782,0.24168999991568285,2914.1629997934238,19184.366475376588,1.6967942222106007
sj_cb_ft_fonly,2022,all,a3b_gp,A3b 등판 내 투구수,21-35,37097,0.14990382750371758,0.5352993503517804,0.5339261856142065,-0.0013731647375739842,0.5850182198242361,0.24213555371327883,2660.621869692847,14567.555260386225,0.11344187489392164
sj_cb_ft_fonly,2022,all,a3b_gp,A3b 등판 내 투구수,36-60,41816,0.16897265145147733,0.5312081499904343,0.5312642035717106,5.605358127624971e-05,0.5802786055003828,0.2431576802586215,2356.528998942176,16489.9674927413,0.00021307796379886165
sj_cb_ft_fonly,2022,all,a3b_gp,A3b 등판 내 투구수,61-80,27608,0.11156009568759294,0.527926687916546,0.5257740419333798,-0.0021526459831661127,0.5734698895362464,0.2443660217262189,1947.7074175823118,10941.203248448086,0.20747677721305516
sj_cb_ft_fonly,2022,all,a3b_gp,A3b 등판 내 투구수,81+,18235,0.07368510376931532,0.5200987112695366,0.5183823346403763,-0.0017163766291602434,0.5613708496579122,0.24623785161118786,1345.4501000202179,7281.987043554328,0.08712048275779749
sj_cb_ft_fonly,2022,all,a4_prevp,A4 전시즌 투구수,없음,60379,0.24398315769056703,0.5531062124248497,0.5554098494263581,0.002303637001508374,0.5968987803355885,0.23939085959399,3151.0960067539063,23441.359806679226,0.5196409021879462
sj_cb_ft_fonly,2022,all,a4_prevp,A4 전시즌 투구수,1-200,16117,0.0651265597724187,0.5244772600359868,0.5314189599481283,0.006941699912141441,0.5927854300347223,0.24108137107893465,3335.7914392916355,6301.401899338116,1.259520375066699
sj_cb_ft_fonly,2022,all,a4_prevp,A4 전시즌 투구수,201-600,29513,0.11925793625137389,0.5317317792159387,0.5324917955025286,0.0007600162865898374,0.6032762724870279,0.23949436156591797,3814.8578589529025,11462.991541824547,0.027647029548957355
