model,eval,fit,axis,axis_title,bin,n_eval,shift_xfer,logit_xfer,bias_fit,bias_eval,c,b
ye_hand,2024,2022,a7_inning,A7 이닝,4-6회,74465,14.82862581931945,-3.9735780730341674,0.005981735509501984,0.012287360277960069,-0.005981735509501984,0.782944551389891
ye_hand,2024,2022,a7_inning,A7 이닝,7-8회,51708,7.154285567772611,7.614169204357077,0.005276930243002187,0.009960382027376646,-0.005276930243002187,0.9220456215670721
ye_hand,2024,2022,a7_inning,A7 이닝,9회+,22199,0.7410570179103878,-5.349897093015138,0.018605308320911396,0.009803701729956094,-0.018605308320911396,0.6083990719263637
ye_hand,2024,2022,a8_hand,A8 손 매치업,1v1,28390,19.207656464242504,12.033679854974737,0.019278098395830556,0.01943941784832165,-0.019278098395830556,0.711422262650123
ye_hand,2024,2022,a8_hand,A8 손 매치업,1v2,37565,-3.1139445843121387,-19.84945738460602,0.00812541162277558,0.0012137892272529038,-0.00812541162277558,0.6676929133978033
ye_hand,2024,2022,a8_hand,A8 손 매치업,2v1,80544,2.2320875975645578,-6.62296366735159,0.0013309824216276578,0.006479870231784313,-0.0013309824216276578,0.8083878634354755
ye_hand,2024,2022,a8_hand,A8 손 매치업,2v2,76998,22.66812124853525,16.338391237198817,0.008060379365727344,0.014229674073593546,-0.008060379365727344,0.8491497260521829
ye_hand,2024,2022,a9_batn,A9 타자 누적 이력,0-99,1821,4.0729576306609125,0.09263545250571996,0.030861918605758376,0.035669287895794544,-0.030861918605758376,0.5168834411188546
ye_hand,2024,2022,a9_batn,A9 타자 누적 이력,100-499,9837,3.4007882356267616,0.758539594794782,0.015558569521776588,0.013984328845162541,-0.015558569521776588,0.4967372325122035
ye_hand,2024,2022,a9_batn,A9 타자 누적 이력,500-1499,24706,7.486283278317584,3.734639080372452,0.012605931925422587,0.013015499676374498,-0.012605931925422587,0.8149402697725264
ye_hand,2024,2022,a9_batn,A9 타자 누적 이력,1500-3999,51239,2.167858472130538,-22.48381228506342,0.004660183358367598,0.00486536562874218,-0.004660183358367598,0.7088126328705641
ye_hand,2024,2022,a9_batn,A9 타자 누적 이력,4000+,135894,17.685855793181986,17.165785357807348,0.004295282400159528,0.010608835980538134,-0.004295282400159528,0.9792629163027509
ye_hand,2024,2022,a10_base,A10 주자 상황,___,116958,26.925983703712962,12.843045130298652,0.009390038264031952,0.011541570979907823,-0.009390038264031952,0.788677944167163
ye_hand,2024,2022,a10_base,A10 주자 상황,1__,44920,1.9083082889272975,-2.145751990091332,0.0019311011087107532,0.007108845883501469,-0.0019311011087107532,0.8990667218577677
ye_hand,2024,2022,a10_base,A10 주자 상황,_2_,17468,-0.052614448483761615,-4.419942399235947,0.0037174749533277485,0.0016324755890603226,-0.0037174749533277485,0.768255343035716
ye_hand,2024,2022,a10_base,A10 주자 상황,__3,5733,-0.01814052245998377,-0.04037210968457945,0.0006463824820839292,-0.001043831971578757,-0.0006463824820839292,0.8738430326579867
ye_hand,2024,2022,a10_base,A10 주자 상황,12_,18986,6.956416345340464,-2.1815995184616965,0.008998002314960618,0.015870130714291275,-0.008998002314960618,0.7481166920610419
ye_hand,2024,2022,a10_base,A10 주자 상황,1_3,7419,0.4818679461146597,-0.342496057798518,0.0025308963864275613,0.0084319286202163,-0.0025308963864275613,0.7654133093036035
ye_hand,2024,2022,a10_base,A10 주자 상황,_23,4798,-0.7113721176600099,-0.7272698998621933,-0.004399860451878235,0.007210193005470988,0.004399860451878235,0.9315045567287267
ye_hand,2024,2022,a10_base,A10 주자 상황,123,7215,3.742932501447576,4.901034233623074,0.014189357108654321,0.017304321612785056,-0.014189357108654321,1.096040111421998
ye_hand,2024,2022,a11_typemo,A11 game_type x 월블록,R|early,87355,2.934051436155943,-32.64758109769168,0.0012783425749550714,0.007976370650690456,-0.0012783425749550714,0.7375296288788914
ye_hand,2024,2022,a11_typemo,A11 game_type x 월블록,R|mid,68816,9.71870421641253,-2.345246402671735,0.00735579354438376,0.00903940560930494,-0.00735579354438376,0.8415235902011714
ye_hand,2024,2022,a11_typemo,A11 game_type x 월블록,R|late,67326,21.11637663512021,23.426730798549812,0.011887439290272306,0.013311656458159016,-0.011887439290272306,0.8630984563403933
ye_hand,2024,2022,a12_role,A12 투수 역할(전시즌),불펜(<30구/경기),79963,17.110109908955952,10.538945974720312,0.00916550725344667,0.011102111659208602,-0.00916550725344667,0.7937044477043057
