axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,w
a3b_gp,A3b 등판 내 투구수,0.25,2024,2022,all,6,2383.321513546388,3.0656129484605117,2432.461362535243,
a3b_gp,A3b 등판 내 투구수,0.5,2024,2022,all,6,2385.7415049775454,5.485604379618053,2470.3683293573085,
a3b_gp,A3b 등판 내 투구수,0.75,2024,2022,all,6,2387.5158748912663,7.259974293338928,2493.9768010640573,
a3b_gp,A3b 등판 내 투구수,1.0,2024,2022,all,6,2388.6446232876724,8.38872268974501,2503.2867776555336,
a4_prevp,A4 전시즌 투구수,0.0,2024,2022,all,7,2380.2559005979274,0.0,2380.2559005979274,
a4_prevp,A4 전시즌 투구수,0.25,2024,2022,all,7,2384.1776338838104,3.921733285882965,2432.814784508497,
a4_prevp,A4 전시즌 투구수,0.5,2024,2022,all,7,2387.061010563396,6.805109965468546,2471.3694075337635,
a4_prevp,A4 전시즌 투구수,0.75,2024,2022,all,7,2388.9060306366505,8.650130038723091,2495.919769673738,
a4_prevp,A4 전시즌 투구수,1.0,2024,2022,all,7,2389.712694103607,9.456793505679798,2506.4658709284536,
a5_asofn,A5 투수 누적 이력,0.0,2024,2022,all,6,2380.2559005979274,0.0,2380.2559005979274,
a5_asofn,A5 투수 누적 이력,0.25,2024,2022,all,6,2380.086452095409,-0.16944850251820753,2432.8642205804217,
a5_asofn,A5 투수 누적 이력,0.5,2024,2022,all,6,2379.255142275749,-1.0007583221781715,2471.2776008849137,
a5_asofn,A5 투수 누적 이력,0.75,2024,2022,all,6,2377.761971138925,-2.4939294590021746,2495.496041511369,
a5_asofn,A5 투수 누적 이력,1.0,2024,2022,all,6,2375.606938684971,-4.648961912956565,2505.519542459844,
a6_psucc,A6 투수 수준 5분위,0.0,2024,2022,all,5,2380.2559005979274,0.0,2380.2559005979274,
a6_psucc,A6 투수 수준 5분위,0.25,2024,2022,all,5,2380.663396883298,0.40749628537059834,2432.7070284050233,
a6_psucc,A6 투수 수준 5분위,0.5,2024,2022,all,5,2380.6349368541314,0.37903625620401726,2471.141957853451,
a6_psucc,A6 투수 수준 5분위,0.75,2024,2022,all,5,2380.170520510461,-0.08538008746654668,2495.5606889432324,
a6_psucc,A6 투수 수준 5분위,1.0,2024,2022,all,5,2379.270147852297,-0.9857527456301796,2505.9632216743344,
a7_inning,A7 이닝,0.0,2024,2022,all,4,2380.2559005979274,0.0,2380.2559005979274,
a7_inning,A7 이닝,0.25,2024,2022,all,4,2379.7571370859914,-0.49876351193597657,2432.478346143796,
a7_inning,A7 이닝,0.5,2024,2022,all,4,2378.8336851445433,-1.4222154533840694,2470.3035899672823,
a7_inning,A7 이닝,0.75,2024,2022,all,4,2377.485544773661,-2.7703558242665167,2493.73163206843,
a7_inning,A7 이닝,1.0,2024,2022,all,4,2375.7127159733104,-4.54318462461697,2502.7624724472507,
a8_hand,A8 손 매치업,0.0,2024,2022,all,4,2380.2559005979274,0.0,2380.2559005979274,
